log_name,timestamp,id,index,container_id,container_name,log,source
du,2025-09-18 17:44:11,NazCXJkBdI0Tb9Y5iPbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 640.0,stdout
du,2025-09-18 17:44:11,N6zCXJkBdI0Tb9Y5iPbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66339178 pps   25060 kbps  971231][tx 74368944 pps   28032 kbps 1892001][Total Msgs_Rcvd 66339178],stdout
du,2025-09-18 17:44:11,OKzCXJkBdI0Tb9Y5iPbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62264170 prach0 4075008],stdout
du,2025-09-18 17:44:09,MazCXJkBdI0Tb9Y5g_YA,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 512.0,stdout
du,2025-09-18 17:44:09,M6zCXJkBdI0Tb9Y5g_YA,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66314118 pps   25028 kbps  970601][tx 74340912 pps   28032 kbps 1892001][Total Msgs_Rcvd 66314118],stdout
du,2025-09-18 17:44:09,NKzCXJkBdI0Tb9Y5g_YA,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62240646 prach0 4073472],stdout
du,2025-09-18 17:44:08,LazCXJkBdI0Tb9Y5fvbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 384.0,stdout
du,2025-09-18 17:44:08,L6zCXJkBdI0Tb9Y5fvbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66289090 pps   25016 kbps  969550][tx 74312880 pps   28032 kbps 1892001][Total Msgs_Rcvd 66289090],stdout
du,2025-09-18 17:44:08,MKzCXJkBdI0Tb9Y5fvbf,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62217154 prach0 4071936],stdout
du,2025-09-18 17:44:07,KazCXJkBdI0Tb9Y5efbg,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 256.0,stdout
du,2025-09-18 17:44:07,K6zCXJkBdI0Tb9Y5efbg,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66264074 pps   25026 kbps  969865][tx 74284848 pps   28032 kbps 1892001][Total Msgs_Rcvd 66264074],stdout
du,2025-09-18 17:44:07,LKzCXJkBdI0Tb9Y5efbg,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62193674 prach0 4070400],stdout
du,2025-09-18 17:44:06,J6zCXJkBdI0Tb9Y5cvYq,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o-du 0][rx 66239048 pps   25042 kbps  970075][tx 74256816 pps   28032 kbps 1892001][Total Msgs_Rcvd 66239048],stdout
du,2025-09-18 17:44:06,KKzCXJkBdI0Tb9Y5cvYq,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[HW]   [o_du0][pusch0 62170184 prach0 4068864],stdout
du,2025-09-18 17:44:05,JazCXJkBdI0Tb9Y5cvYq,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 128.0,stdout
du,2025-09-18 17:44:04,H6zCXJkBdI0Tb9Y5bvYU,oai-20250918,2780bd28b37754289618818c7c406772a6c1b3fab81dedc58e7408ce80c78c22,/gnb-du,[0m[NR_MAC]   Frame.Slot 0.0,stdout
